Sample,Time (s),AI0 - Center- F5 (°C),AI2 - F4 (°C),AI3 - E5 (°C),AI5 - F6 (°C),AI6 - G5 (°C)
168,00:56.5,22.675,23.313,22.977,22.221,22.741
169,00:56.9,22.616,23.689,23.004,22.457,22.89
170,00:57.2,22.708,23.353,22.983,22.389,22.869
171,00:57.6,22.772,24.129,23.064,22.541,22.938
172,00:57.9,22.704,23.091,22.839,22.3,22.813
173,00:58.2,22.619,23.12,22.746,22.338,22.846
174,00:58.6,22.558,24.491,22.635,22.145,22.814
175,00:58.9,22.576,23.038,22.675,22.11,22.799
176,00:59.2,22.573,22.902,22.726,22.253,22.877
177,00:59.6,22.678,22.343,22.785,22.377,22.858
178,00:59.9,22.661,23.077,22.881,22.426,22.879
179,01:00.2,22.759,24.76,23.062,22.561,23.013
180,01:00.6,23.083,23.585,23.522,22.764,23.319
181,01:00.9,23.427,23.793,23.734,22.942,23.58
182,01:01.3,23.752,24.088,24.046,23.117,23.663
183,01:01.6,23.819,24.044,24.158,23.209,23.648
184,01:01.9,23.799,24.142,24.072,23.076,23.548
185,01:02.3,23.712,24.135,24.05,22.989,23.718
186,01:02.6,23.802,24.129,24.153,23.141,23.752
187,01:02.9,23.883,24.284,24.291,23.267,23.867
188,01:03.3,23.786,24.237,24.229,23.296,23.834
189,01:03.6,23.767,24.25,24.077,23.208,23.694
190,01:04.0,23.54,23.996,23.747,22.735,23.489
191,01:04.3,23.282,23.922,23.235,22.514,23.289
192,01:04.6,23.12,23.535,22.996,22.526,23.107
193,01:05.0,22.931,23.474,22.682,22.02,22.808
194,01:05.3,22.735,23.485,22.512,21.745,22.679
195,01:05.6,22.557,23.161,22.47,21.683,22.761
196,01:06.0,22.716,23.073,22.659,21.937,22.907
197,01:06.3,22.777,23.212,22.78,22.32,23.105
198,01:06.6,22.928,23.356,22.788,22.476,23.059
199,01:07.0,22.841,23.287,22.764,22.498,23.126
200,01:07.3,22.794,23.203,22.726,22.434,23.071
201,01:07.7,22.815,23.298,22.817,22.661,23.196
202,01:08.0,22.843,23.243,22.67,22.707,23.199
203,01:08.3,22.898,23.281,22.825,22.809,23.281
204,01:08.7,22.877,23.2,22.692,22.557,23.238
205,01:09.0,22.822,23.133,22.596,22.275,23.068
206,01:09.3,22.617,22.971,22.485,22.213,23.075
207,01:09.7,74.769,23.036,22.566,22.364,23.39
208,01:10.0,131.673,23.342,22.692,22.649,24.354
209,01:10.3,141.215,23.71,22.703,22.743,25.417
210,01:10.7,144.34,24.659,22.816,23.332,26.706
211,01:11.0,144.944,25.825,22.934,23.923,27.996
212,01:11.4,145.72,27.308,23.227,23.813,29.436
213,01:11.7,146.093,28.586,23.411,24.38,30.604
214,01:12.0,146.738,28.834,23.385,24.349,31.546
215,01:12.4,146.881,28.666,23.228,23.91,32.443
216,01:12.7,147.626,28.461,23.036,23.368,33.125
217,01:13.0,146.839,28.365,23.093,23.672,33.764
218,01:13.4,146.952,28.176,22.812,23.273,34.175
219,01:13.7,146.397,28.184,22.925,22.98,34.491
220,01:14.0,146.861,27.759,22.707,23.083,34.846
221,01:14.4,147.478,27.848,22.974,24.113,35.471
222,01:14.7,146.804,28.084,23.337,24.975,36.221
223,01:15.1,146.45,28.78,23.258,24.324,35.464
224,01:15.4,146.416,27.523,22.705,22.987,34.307
225,01:15.7,146.592,26.631,22.523,22.179,33.868
226,01:16.1,146.497,26.561,22.206,21.939,33.476
227,01:16.4,146.798,27.112,22.3,22.548,33.503
228,01:16.7,147.529,29.462,23.052,22.606,34.307
229,01:17.1,147.628,30.278,22.994,22.632,34.594
230,01:17.4,148.71,30.669,23.143,22.3,34.998
231,01:17.8,148.028,31.231,23.412,22.033,35.905
232,01:18.1,148.087,31.716,23.525,22.242,36.425
233,01:18.4,148.769,32.793,24.176,23.2,37.599
234,01:18.8,148.563,33.985,24.95,24.455,38.131
235,01:19.1,148.648,35.479,25.55,25.087,38.775
236,01:19.4,148.912,37.212,26.332,24.571,39.076
237,01:19.8,148.512,38.81,27.269,25.077,39.652
238,01:20.1,149.201,39.684,28.472,25.731,40.699
239,01:20.4,149.086,40.939,29.056,26.495,41.559
240,01:20.8,149.363,41.793,29.777,26.564,42.705
241,01:21.1,148.477,42.728,30.578,26.895,43.86
242,01:21.5,148.883,44.092,31.468,27.076,44.763
243,01:21.8,148.729,45.672,31.646,26.865,45.091
244,01:22.1,149.097,46.914,32.228,28.205,46.066
245,01:22.5,148.475,48.131,32.587,29.529,46.638
246,01:22.8,148.417,48.513,32.794,28.603,46.682
247,01:23.1,149.14,48.798,32.691,27.363,47.006
248,01:23.5,149.343,48.959,32.024,26.594,47.162
249,01:23.8,149.064,50.267,31.581,27.932,48.001
250,01:24.1,149.27,52.099,32.48,29.512,48.709
251,01:24.5,149.465,53.611,33.621,30.43,49.645
252,01:24.8,149.364,53.702,34.352,31.341,50.228
253,01:25.2,149.676,53.413,35,32.588,50.373
254,01:25.5,149.237,52.801,32.875,31.271,49.636
255,01:25.8,148.623,52.002,31.898,30.099,48.992
256,01:26.2,147.563,50.976,32.024,30.641,48.964
257,01:26.5,147.685,49.681,31.915,30.307,49.626
258,01:26.8,148.844,48.267,31.723,31.006,49.608
259,01:27.2,148.827,47.902,31.714,31.169,49.984
260,01:27.5,148.894,48.192,32.464,31.563,50.59
261,01:27.8,149.204,49.086,33.651,32.885,51.313
262,01:28.2,149.642,50.16,34.834,34.597,51.541
263,01:28.5,149.204,50.807,36.176,36.226,51.664
264,01:28.9,149.233,50.966,36.782,37.622,51.757
265,01:29.2,149.358,51.132,37.612,39.174,51.501
266,01:29.5,139.734,51.175,38.193,40.895,50.765
267,01:29.9,127.6,50.522,39.189,42.29,49.367
268,01:30.2,116.429,50.929,37.959,42.205,48.963
269,01:30.5,106.475,50.644,36.281,40.024,48.508
270,01:30.9,95.595,49.256,33.404,34.651,48.055
271,01:31.2,85.588,46.081,31.301,30.466,46.804
272,01:31.6,76.962,43.602,30.133,28.92,45.434
273,01:31.9,71.897,42.298,29.913,28.575,45.127
274,01:32.2,68.135,41.848,29.667,29.125,44.706
275,01:32.6,65.515,42.083,30.357,30.903,44.759
276,01:32.9,63.439,42.409,30.816,32.179,44.47
277,01:33.2,61.205,42.413,31.725,33.649,44.424
278,01:33.6,59.259,42.093,32.829,34.711,44.142
279,01:33.9,57.625,41.744,33.889,35.304,43.678
280,01:34.2,55.682,41.297,34.463,35.669,43.041
281,01:34.6,53.728,40.968,34.84,35.369,42.391
282,01:34.9,52.076,40.425,34.865,34.695,41.781
283,01:35.3,50.656,40.191,34.454,33.934,41.022
284,01:35.6,49.294,39.806,34.307,34.225,40.484
285,01:35.9,47.968,39.112,34.274,34.637,39.915
286,01:36.3,46.655,38.471,34.084,34.868,39.193
287,01:36.6,45.341,37.749,33.948,34.337,38.382
288,01:36.9,43.889,36.771,33.581,33.197,37.37
289,01:37.3,42.108,35.557,32.908,32.525,36.251
290,01:37.6,40.182,34.597,32.337,31.463,35.704
291,01:37.9,39.29,34.28,32.022,31.967,35.667
292,01:38.3,38.793,33.973,31.852,32.239,35.374
293,01:38.6,38.262,33.61,31.727,32.174,35.046
294,01:39.0,37.469,33.236,31.378,31.416,34.705
295,01:39.3,36.813,32.9,31.078,31.227,34.344
296,01:39.6,36.045,32.459,30.737,31.111,34.013
297,01:40.0,35.335,31.959,29.7,29.685,33.429
298,01:40.3,34.064,31.285,28.759,28.196,32.931
299,01:40.6,33.366,30.596,27.579,26.508,32.141
300,01:41.0,32.528,30.056,26.989,26.316,31.825
301,01:41.3,32.078,29.682,26.697,26.231,31.638
302,01:41.6,31.823,29.689,26.649,26.716,31.684
303,01:42.0,31.634,29.725,26.846,27.55,31.774
304,01:42.3,31.669,29.849,27.24,28.049,31.671
305,01:42.7,31.561,29.823,27.626,28.4,31.614
306,01:43.0,31.507,29.703,27.922,28.537,31.436
307,01:43.3,31.297,29.679,28.19,28.713,31.389
308,01:43.7,31.088,29.579,28.202,27.99,30.913
